timestamp_ms,cpu_load_pct,memory_load_pct,temperature_c,network_kbps,auth_failures,battery_pct,integrity_drift,process_count,disk_pressure_pct
1000,12.0,20.0,35.0,300,0,95.0,0.010,42,8.0
2000,12.2,20.1,35.1,302,0,94.9,0.010,42,8.1
3000,12.4,20.3,35.1,304,0,94.8,0.010,42,8.1
4000,12.5,20.4,35.2,305,0,94.7,0.011,42,8.2
5000,12.7,20.5,35.2,307,0,94.6,0.011,43,8.2
6000,12.9,20.7,35.3,309,0,94.5,0.011,43,8.3
7000,13.1,20.8,35.3,311,0,94.4,0.011,43,8.3
8000,13.3,21.0,35.4,313,0,94.3,0.012,43,8.4
9000,13.5,21.1,35.4,315,0,94.2,0.012,43,8.4
10000,13.7,21.3,35.5,317,0,94.1,0.012,43,8.5
11000,13.9,21.4,35.5,319,0,94.0,0.012,44,8.5
12000,14.1,21.6,35.6,321,0,93.9,0.013,44,8.6
13000,14.4,21.8,35.7,324,0,93.8,0.013,44,8.7
14000,14.6,22.0,35.7,326,0,93.7,0.013,44,8.7
15000,14.9,22.2,35.8,329,0,93.6,0.014,44,8.8
16000,15.1,22.4,35.9,331,0,93.5,0.014,44,8.9
17000,15.4,22.6,36.0,334,0,93.4,0.014,45,8.9
18000,15.7,22.9,36.0,337,0,93.3,0.015,45,9.0
19000,16.0,23.1,36.1,340,0,93.2,0.015,45,9.1
20000,16.3,23.4,36.2,343,0,93.1,0.015,45,9.2
21000,16.6,23.6,36.3,346,0,93.0,0.016,45,9.3
22000,17.0,23.9,36.4,350,0,92.9,0.016,46,9.4
23000,17.3,24.2,36.5,354,0,92.8,0.017,46,9.5
24000,17.7,24.5,36.6,358,0,92.7,0.017,46,9.6
25000,18.1,24.9,36.7,362,0,92.5,0.018,46,9.7
26000,18.5,25.2,36.8,367,0,92.3,0.018,47,9.9
27000,19.0,25.6,36.9,372,0,92.1,0.019,47,10.0
28000,19.4,26.0,37.0,377,1,91.9,0.019,47,10.2
29000,19.9,26.4,37.2,382,1,91.7,0.020,48,10.4
30000,20.4,26.9,37.3,388,1,91.5,0.021,48,10.6
31000,21.0,27.4,37.5,394,1,91.2,0.022,49,10.8
32000,21.5,27.9,37.6,400,1,91.0,0.022,49,11.0
33000,22.1,28.4,37.8,407,1,90.7,0.023,50,11.3
34000,22.8,29.0,38.0,414,1,90.4,0.024,50,11.5
35000,23.4,29.6,38.2,422,1,90.1,0.025,51,11.8
36000,24.1,30.2,38.4,430,1,89.8,0.026,51,12.1
37000,24.8,30.9,38.6,438,2,89.5,0.027,52,12.4
38000,25.6,31.6,38.8,447,2,89.1,0.028,53,12.8
39000,26.4,32.3,39.1,456,2,88.7,0.030,54,13.2
40000,27.2,33.1,39.3,466,2,88.3,0.031,55,13.6
41000,28.1,33.9,39.6,476,2,87.9,0.033,56,14.0
42000,29.0,34.8,39.9,487,2,87.4,0.035,57,14.5
43000,30.0,35.7,40.2,498,3,86.9,0.037,58,15.0
44000,31.0,36.6,40.5,510,3,86.4,0.039,59,15.5
45000,32.1,37.6,40.8,523,3,85.8,0.041,61,16.1
46000,33.2,38.6,41.2,536,3,85.2,0.044,62,16.7
47000,34.4,39.7,41.5,550,3,84.6,0.047,64,17.3
48000,35.6,40.8,41.9,565,4,83.9,0.050,66,18.0
