timestamp_ms,cpu_load_pct,memory_load_pct,temperature_c,network_kbps,auth_failures,battery_pct,integrity_drift,process_count,disk_pressure_pct
1000,14.0,22.0,36.0,310,0,95.0,0.010,42,8.5
2000,13.5,21.5,35.8,305,0,94.8,0.011,43,8.3
3000,12.8,20.8,35.3,298,0,94.6,0.009,41,8.0
4000,14.2,22.3,36.1,315,0,94.4,0.012,44,9.0
5000,13.0,21.0,35.5,302,0,94.2,0.010,42,8.4
6000,14.5,22.5,36.2,318,0,94.0,0.013,44,9.1
7000,12.5,20.3,35.2,295,0,93.8,0.009,41,8.1
8000,13.8,21.8,35.9,310,0,93.6,0.012,43,8.8
9000,14.1,22.1,36.0,312,0,93.4,0.011,44,9.0
10000,12.9,20.6,35.3,300,0,93.2,0.010,42,8.3
11000,13.3,21.2,35.6,305,0,93.0,0.011,43,8.6
12000,14.4,22.4,36.2,316,0,92.8,0.012,44,9.1
13000,12.6,20.4,35.1,297,0,92.6,0.009,41,8.1
14000,13.7,21.6,35.8,308,0,92.4,0.012,43,8.9
15000,14.0,22.0,36.0,311,0,92.2,0.011,44,8.9
16000,12.3,20.1,34.9,293,0,92.0,0.009,40,7.9
17000,13.5,21.3,35.7,306,0,91.8,0.011,43,8.7
18000,14.3,22.3,36.1,314,0,91.6,0.012,44,9.0
19000,12.7,20.5,35.2,299,0,91.4,0.010,42,8.3
20000,13.2,21.1,35.5,303,0,91.2,0.011,42,8.5
21000,14.6,22.6,36.3,320,0,91.0,0.013,45,9.2
22000,12.4,20.2,35.0,294,0,90.8,0.009,41,8.0
23000,13.9,21.9,35.9,312,0,90.6,0.012,43,8.9
24000,14.2,22.2,36.1,316,0,90.4,0.012,44,9.1
25000,12.8,20.7,35.3,300,0,90.2,0.010,42,8.4
26000,13.4,21.2,35.6,304,0,90.0,0.011,43,8.6
27000,14.5,22.5,36.2,318,0,89.8,0.013,44,9.2
28000,12.1,19.9,34.8,291,0,89.6,0.009,40,7.8
29000,13.6,21.5,35.7,307,0,89.4,0.011,43,8.8
30000,14.0,22.0,36.0,311,0,89.2,0.012,44,9.0
