timestamp_ms,cpu_load_pct,memory_load_pct,temperature_c,network_kbps,auth_failures,battery_pct,integrity_drift,process_count,disk_pressure_pct
1000,10.0,18.0,34.0,280,0,18.0,0.008,38,7.0
2000,10.2,18.1,34.1,282,0,17.9,0.008,38,7.0
3000,10.3,18.2,34.1,283,0,17.8,0.008,38,7.1
4000,10.4,18.3,34.2,285,0,17.7,0.009,38,7.1
5000,10.5,18.4,34.2,286,0,17.6,0.009,39,7.2
6000,10.6,18.4,34.3,287,0,17.5,0.009,39,7.2
7000,10.7,18.5,34.3,288,0,17.4,0.009,39,7.3
8000,10.8,18.6,34.4,289,0,17.3,0.009,39,7.3
9000,10.9,18.7,34.4,290,0,17.2,0.010,39,7.4
10000,11.0,18.8,34.5,291,0,17.1,0.010,39,7.4
11000,11.1,18.9,34.5,292,0,17.0,0.010,40,7.5
12000,11.2,19.0,34.6,293,0,16.9,0.010,40,7.5
13000,11.3,19.0,34.6,294,0,16.8,0.010,40,7.5
14000,11.4,19.1,34.7,295,0,16.7,0.010,40,7.6
15000,11.5,19.2,34.7,296,0,16.6,0.011,40,7.6
16000,11.6,19.3,34.8,297,0,16.5,0.011,40,7.7
17000,11.7,19.3,34.8,298,0,16.4,0.011,40,7.7
18000,11.8,19.4,34.9,299,0,16.3,0.011,41,7.7
19000,11.9,19.5,34.9,300,0,16.2,0.011,41,7.8
20000,12.0,19.6,35.0,301,0,16.1,0.011,41,7.8
21000,12.0,19.6,35.0,301,0,16.0,0.012,41,7.8
22000,12.1,19.7,35.0,302,0,15.9,0.012,41,7.9
23000,12.2,19.8,35.1,303,0,15.8,0.012,41,7.9
24000,12.3,19.8,35.1,303,0,15.7,0.012,41,8.0
25000,12.3,19.9,35.2,304,0,15.6,0.012,42,8.0
26000,12.4,20.0,35.2,305,0,15.5,0.012,42,8.0
27000,12.5,20.0,35.2,305,0,15.4,0.013,42,8.1
28000,12.6,20.1,35.3,306,0,15.3,0.013,42,8.1
29000,12.6,20.2,35.3,307,0,15.2,0.013,42,8.1
30000,12.7,20.2,35.3,307,0,15.1,0.013,42,8.2
31000,12.8,20.3,35.4,308,0,15.0,0.013,42,8.2
32000,12.9,20.4,35.4,309,0,14.9,0.013,42,8.2
33000,12.9,20.4,35.4,309,0,14.8,0.014,43,8.3
34000,13.0,20.5,35.5,310,0,14.7,0.014,43,8.3
35000,13.1,20.6,35.5,311,0,14.6,0.014,43,8.3
36000,13.2,20.6,35.5,311,0,14.5,0.014,43,8.4
37000,13.2,20.7,35.6,312,0,14.4,0.014,43,8.4
38000,13.3,20.8,35.6,313,0,14.3,0.014,43,8.4
39000,13.4,20.8,35.6,313,0,14.2,0.015,43,8.5
40000,13.5,20.9,35.7,314,0,14.1,0.015,43,8.5
41000,14.5,21.5,36.0,330,1,14.0,0.018,44,9.0
42000,16.0,22.5,36.5,360,2,13.8,0.022,46,9.8
43000,18.0,24.0,37.0,400,3,13.6,0.028,48,10.8
44000,21.0,26.0,37.8,450,5,13.3,0.035,51,12.0
45000,25.0,29.0,38.5,520,7,13.0,0.045,55,13.5
46000,30.0,33.0,39.5,600,10,12.6,0.058,60,15.5
47000,36.0,38.0,40.8,700,14,12.1,0.075,67,18.0
48000,43.0,44.0,42.2,820,19,11.5,0.095,75,21.0
49000,50.0,50.0,43.8,950,25,10.8,0.120,84,24.5
50000,58.0,57.0,45.5,1100,32,10.0,0.150,94,28.5
51000,65.0,63.0,47.0,1250,38,9.1,0.180,104,32.5
52000,72.0,68.0,48.5,1400,44,8.2,0.215,114,36.5
53000,78.0,73.0,50.0,1550,50,7.2,0.250,124,40.5
54000,83.0,77.0,51.2,1680,55,6.2,0.285,132,44.0
55000,87.0,80.0,52.2,1780,59,5.2,0.320,139,47.0
56000,90.0,82.5,53.0,1860,62,4.3,0.350,145,49.5
57000,92.0,84.0,53.5,1920,64,3.5,0.375,149,51.5
58000,93.5,85.0,54.0,1960,65,2.8,0.395,152,53.0
59000,94.5,85.8,54.3,1985,66,2.2,0.410,154,54.0
60000,95.0,86.2,54.5,2000,66,1.8,0.420,155,54.5
61000,95.2,86.5,54.6,2010,67,1.4,0.428,156,55.0
62000,95.3,86.6,54.7,2015,67,1.1,0.433,156,55.2
63000,95.4,86.7,54.7,2018,67,0.9,0.436,157,55.3
64000,95.4,86.8,54.8,2020,67,0.7,0.438,157,55.4
65000,95.5,86.8,54.8,2022,67,0.5,0.440,157,55.5
66000,95.5,86.8,54.8,2022,67,0.4,0.440,157,55.5
67000,95.5,86.9,54.8,2023,68,0.3,0.441,157,55.5
68000,95.5,86.9,54.8,2023,68,0.2,0.441,157,55.5
69000,95.5,86.9,54.9,2024,68,0.2,0.442,157,55.6
70000,95.5,86.9,54.9,2024,68,0.1,0.442,157,55.6
71000,92.0,84.0,54.0,1900,60,0.1,0.420,153,53.0
72000,88.0,81.0,53.0,1750,52,0.1,0.395,148,50.0
73000,84.0,78.0,52.0,1600,44,0.1,0.370,143,47.0
74000,80.0,75.0,51.0,1450,37,0.1,0.345,138,44.0
75000,76.0,72.0,50.0,1310,31,0.1,0.320,133,41.0
76000,72.0,69.0,49.0,1180,25,0.1,0.295,128,38.0
77000,68.0,66.0,48.0,1060,20,0.1,0.270,123,35.5
78000,64.0,63.0,47.0,950,16,0.1,0.248,118,33.0
79000,60.0,60.0,46.0,850,13,0.1,0.225,113,30.5
80000,56.0,57.0,45.0,760,10,0.1,0.205,108,28.0
81000,52.0,54.0,44.2,680,8,0.1,0.185,103,26.0
